device_id,device_type,model_year,device_age,power_consumption,energy_savings_yr,co2_saved_kg_yr,region,recycling_rate
LP16AS39979,Laptop,2016,8,64,36.8,22.1,Asia,0.87
LP16NA89802,Laptop,2016,8,61,27.1,10.8,North America,0.89
LP16NA27073,Laptop,2016,8,62,52.5,21,North America,0.86
LP16EU47211,Laptop,2016,8,62,43.9,11,Europe,0.88
LP16NA13956,Laptop,2016,8,62,33.4,13.4,North America,0.87
LP16NA85247,Laptop,2016,8,60,51,20.4,North America,0.87
LP16NA25785,Laptop,2016,8,65,61.6,24.7,North America,0.89
LP16AS14712,Laptop,2016,8,62,39.8,23.9,Asia,0.87
LP16EU64667,Laptop,2016,8,62,64.5,16.1,Europe,0.87
LP16NA49308,Laptop,2016,8,65,62.2,24.9,North America,0.88
DT16AS32474,Desktop,2016,8,88,40.5,24.3,Asia,0.94
LP16NA66272,Laptop,2016,8,61,32.5,13,North America,0.87
LP16NA91380,Laptop,2016,8,66,48.1,19.2,North America,0.9
DT16AS88043,Desktop,2016,8,86,36.5,21.9,Asia,0.97
DT16NA29215,Desktop,2016,8,91,31,12.4,North America,0.95
LP16AS84855,Laptop,2016,8,64,50.4,30.3,Asia,0.88
LP16NA59096,Laptop,2016,8,65,28.9,11.6,North America,0.86
LP16NA17471,Laptop,2016,8,62,32.5,13,North America,0.87
DT16NA11350,Desktop,2016,8,92,30.9,12.4,North America,0.96
LP16NA49571,Laptop,2016,8,63,48.8,19.5,North America,0.89
LP16AS82377,Laptop,2016,8,65,34.3,20.6,Asia,0.88
LP16EU61551,Laptop,2016,8,61,83.8,21,Europe,0.87
LP16EU81743,Laptop,2016,8,60,44,11,Europe,0.88
LP16NA19087,Laptop,2016,8,65,109.3,43.7,North America,0.89
LP16NA55997,Laptop,2016,8,61,52.4,21,North America,0.88
LP16AS25859,Laptop,2016,8,60,33,19.8,Asia,0.87
LP16AS17706,Laptop,2016,8,67,51.1,30.7,Asia,0.88
LP16EU87968,Laptop,2016,8,65,33.9,8.5,Europe,0.87
LP16NA31164,Laptop,2016,8,63,43.4,17.4,North America,0.86
LP16AS69422,Laptop,2016,8,62,57.3,34.4,Asia,0.88
LP16AS65956,Laptop,2016,8,67,14.6,8.8,Asia,0.87
DT16EU41467,Desktop,2016,8,86,27.3,6.8,Europe,0.95
LP16AS27910,Laptop,2016,8,63,65.9,39.5,Asia,0.86
LP16EU81283,Laptop,2016,8,61,31.4,7.9,Europe,0.87
DT16AS20905,Desktop,2016,8,86,65.3,39.2,Asia,0.96
LP16NA83019,Laptop,2016,8,63,69.6,27.9,North America,0.87
DT16AS97192,Desktop,2016,8,91,69.5,41.7,Asia,0.94
DT16AS27238,Desktop,2016,8,89,43.5,26.1,Asia,0.95
DT16AS89186,Desktop,2016,8,93,49.3,29.6,Asia,0.94
DT16AS69925,Desktop,2016,8,90,99.7,59.8,Asia,0.95
LP16AS68442,Laptop,2016,8,61,74.1,44.5,Asia,0.89
DT16NA78673,Desktop,2016,8,89,66.5,26.6,North America,0.92
LP16EU47422,Laptop,2016,8,59,41,10.2,Europe,0.88
LP16NA12374,Laptop,2016,8,60,30,12,North America,0.86
LP16NA51609,Laptop,2016,8,62,37.7,15.1,North America,0.87
LP16AS63206,Laptop,2016,8,60,20.1,12,Asia,0.88
DT16AS32214,Desktop,2016,8,89,56,33.6,Asia,0.93
LP16NA16911,Laptop,2016,8,60,86.6,34.6,North America,0.87
LP16AS76367,Laptop,2016,8,62,59.2,35.5,Asia,0.87
LP16AS49657,Laptop,2016,8,61,57.9,34.8,Asia,0.87
LP16NA63545,Laptop,2016,8,65,62.8,25.1,North America,0.87
LP16AS75521,Laptop,2016,8,63,76.2,45.7,Asia,0.88
LP16AS59385,Laptop,2016,8,66,83,49.8,Asia,0.88
DT16NA37686,Desktop,2016,8,91,61.4,24.6,North America,0.96
LP16AS69222,Laptop,2016,8,60,91.6,55,Asia,0.88
LP16AS73478,Laptop,2016,8,62,60.2,36.1,Asia,0.86
LP16NA19558,Laptop,2016,8,62,21.9,8.7,North America,0.86
LP16NA18048,Laptop,2016,8,64,55.2,22.1,North America,0.87
LP16NA54438,Laptop,2016,8,62,64,25.6,North America,0.88
LP16AS81287,Laptop,2016,8,62,53.6,32.2,Asia,0.87
DT16EU54341,Desktop,2016,8,87,33.1,8.3,Europe,0.95
LP16AS67975,Laptop,2016,8,61,70.9,42.6,Asia,0.88
LP16AS12585,Laptop,2016,8,64,58.8,35.3,Asia,0.88
LP16NA63246,Laptop,2016,8,60,65.9,26.3,North America,0.87
DT16AS53551,Desktop,2016,8,90,61.6,37,Asia,0.96
LP16AS97698,Laptop,2016,8,63,61,36.6,Asia,0.86
LP16NA99141,Laptop,2016,8,62,19.1,7.6,North America,0.88
LP16NA14014,Laptop,2016,8,63,73.5,29.4,North America,0.88
LP16AS16987,Laptop,2016,8,62,85.3,51.2,Asia,0.87
LP16AS52329,Laptop,2016,8,60,45.9,27.5,Asia,0.85
LP16NA83673,Laptop,2016,8,64,79.6,31.8,North America,0.89
LP16NA31945,Laptop,2016,8,63,55.3,22.1,North America,0.86
DT16AS92536,Desktop,2016,8,91,2.9,1.7,Asia,0.95
LP16NA69624,Laptop,2016,8,60,37.3,14.9,North America,0.87
LP16EU90693,Laptop,2016,8,64,15.6,3.9,Europe,0.86
LP16NA14539,Laptop,2016,8,65,69.6,27.8,North America,0.86
LP16AS92114,Laptop,2016,8,66,35.2,21.1,Asia,0.87
LP16AS62952,Laptop,2016,8,62,90.7,54.4,Asia,0.87
DT16EU54808,Desktop,2016,8,93,73.8,18.4,Europe,0.96
LP16NA64099,Laptop,2016,8,63,68.6,27.5,North America,0.87
LP16EU88444,Laptop,2016,8,64,72.3,18.1,Europe,0.86
LP16NA89990,Laptop,2016,8,65,51.9,20.7,North America,0.9
LP16NA87757,Laptop,2016,8,63,77.5,31,North America,0.88
DT16NA30941,Desktop,2016,8,90,50.5,20.2,North America,0.96
LP16AS72852,Laptop,2016,8,61,51.1,30.7,Asia,0.87
DT16AS90723,Desktop,2016,8,92,69.4,41.6,Asia,0.97
LP16AS17414,Laptop,2016,8,63,37.9,22.7,Asia,0.86
LP16NA24707,Laptop,2016,8,60,43.9,17.6,North America,0.86
LP16AS77203,Laptop,2016,8,63,54.6,32.7,Asia,0.87
LP16AS15025,Laptop,2016,8,60,55.6,33.4,Asia,0.87
LP16AS75372,Laptop,2016,8,58,61,36.6,Asia,0.88
LP16NA28326,Laptop,2016,8,65,41.7,16.7,North America,0.86
LP16NA35698,Laptop,2016,8,66,44.5,17.8,North America,0.88
LP16NA27065,Laptop,2016,8,60,98.8,39.5,North America,0.88
LP16NA31121,Laptop,2016,8,61,54.9,22,North America,0.88
DT16AS38584,Desktop,2016,8,92,38.7,23.2,Asia,0.96
LP16NA69211,Laptop,2016,8,66,43,17.2,North America,0.87
LP16EU89535,Laptop,2016,8,61,86.2,21.6,Europe,0.86
LP16AS77165,Laptop,2016,8,59,46.8,28.1,Asia,0.9
LP16NA24440,Laptop,2016,8,63,58.8,23.5,North America,0.86
LP16AS38560,Laptop,2016,8,62,53.9,32.3,Asia,0.88
LP16NA40844,Laptop,2016,8,62,49.4,19.8,North America,0.88
LP16NA15540,Laptop,2016,8,62,52.4,21,North America,0.86
LP16AS22303,Laptop,2016,8,63,57.8,34.7,Asia,0.88
LP16EU78045,Laptop,2016,8,63,49.8,12.4,Europe,0.87
LP16AS12284,Laptop,2016,8,62,42.5,25.5,Asia,0.88
DT16AS62687,Desktop,2016,8,90,43.6,26.2,Asia,0.96
LP16AS90954,Laptop,2016,8,60,70.6,42.3,Asia,0.89
LP16NA14342,Laptop,2016,8,59,62.3,24.9,North America,0.88
LP16NA52429,Laptop,2016,8,66,42.6,17,North America,0.87
DT16AS16533,Desktop,2016,8,86,26,15.6,Asia,0.94
LP16AS14797,Laptop,2016,8,66,66.6,39.9,Asia,0.89
LP16NA18859,Laptop,2016,8,67,49,19.6,North America,0.87
LP16NA94225,Laptop,2016,8,59,48.7,19.5,North America,0.86
LP16NA24525,Laptop,2016,8,67,55,22,North America,0.88
DT16AS88885,Desktop,2016,8,88,51.2,30.7,Asia,0.94
LP16NA90124,Laptop,2016,8,61,87.9,35.2,North America,0.86
LP16NA69471,Laptop,2016,8,60,60.9,24.3,North America,0.87
DT16NA67174,Desktop,2016,8,90,36.9,14.8,North America,0.92
LP16NA55411,Laptop,2016,8,62,62.1,24.8,North America,0.88
LP16NA35126,Laptop,2016,8,62,66.7,26.7,North America,0.86
LP16AS58452,Laptop,2016,8,63,60.6,36.3,Asia,0.86
LP16NA54691,Laptop,2016,8,64,48.9,19.5,North America,0.88
LP16AS79131,Laptop,2016,8,63,33.3,20,Asia,0.87
LP16NA56675,Laptop,2016,8,64,63.2,25.3,North America,0.87
LP16NA42861,Laptop,2016,8,61,25,10,North America,0.87
LP16EU76003,Laptop,2016,8,64,57.2,14.3,Europe,0.88
LP16AS28592,Laptop,2016,8,62,21.5,12.9,Asia,0.89
LP16NA51272,Laptop,2016,8,62,52.8,21.1,North America,0.87
DT16AS41089,Desktop,2016,8,89,29.1,17.5,Asia,0.95
LP16EU40710,Laptop,2016,8,60,60.8,15.2,Europe,0.87
LP16NA30601,Laptop,2016,8,64,51.1,20.4,North America,0.88
LP16EU12733,Laptop,2016,8,62,54.2,13.6,Europe,0.88
LP16AS84768,Laptop,2016,8,61,49.2,29.5,Asia,0.89
LP16AS61808,Laptop,2016,8,61,53.8,32.3,Asia,0.87
LP16NA75280,Laptop,2016,8,59,52.6,21.1,North America,0.88
DT16NA61472,Desktop,2016,8,87,19.2,7.7,North America,0.94
LP16NA78494,Laptop,2016,8,63,47.5,19,North America,0.87
DT16AS88697,Desktop,2016,8,91,43.9,26.4,Asia,0.96
LP16EU62939,Laptop,2016,8,64,44.7,11.2,Europe,0.87
LP16NA20766,Laptop,2016,8,64,51.8,20.7,North America,0.87
LP16NA32191,Laptop,2016,8,63,14.3,5.7,North America,0.86
DT16NA61139,Desktop,2016,8,86,25.8,10.3,North America,0.97
DT16AS10272,Desktop,2016,8,90,-13.1,-7.8,Asia,0.95
LP16NA23196,Laptop,2016,8,61,50.7,20.3,North America,0.86
LP16AS21101,Laptop,2016,8,62,77.8,46.7,Asia,0.87
LP16NA18975,Laptop,2016,8,61,54.7,21.9,North America,0.89
LP16NA36438,Laptop,2016,8,61,60.3,24.1,North America,0.87
LP16NA43945,Laptop,2016,8,62,27.5,11,North America,0.86
LP16EU24240,Laptop,2016,8,62,61.8,15.4,Europe,0.88
LP16NA28974,Laptop,2016,8,63,77.5,31,North America,0.86
LP16NA40879,Laptop,2016,8,62,43.3,17.3,North America,0.89
LP16AS16876,Laptop,2016,8,61,93.5,56.1,Asia,0.87
LP16AS53767,Laptop,2016,8,63,88.6,53.2,Asia,0.86
LP16AS45264,Laptop,2016,8,59,64.9,39,Asia,0.86
LP16NA91163,Laptop,2016,8,63,57.8,23.1,North America,0.89
LP16NA96550,Laptop,2016,8,59,57.7,23.1,North America,0.86
LP16NA21574,Laptop,2016,8,63,37.8,15.1,North America,0.88
LP16AS58336,Laptop,2016,8,63,12.6,7.6,Asia,0.87
LP16AS79055,Laptop,2016,8,61,20.8,12.5,Asia,0.87
LP16NA74100,Laptop,2016,8,63,31.9,12.8,North America,0.86
LP16AS86162,Laptop,2016,8,63,22,13.2,Asia,0.87
LP16NA13276,Laptop,2016,8,63,55.2,22.1,North America,0.88
LP16EU42095,Laptop,2016,8,58,33.6,8.4,Europe,0.87
LP16AS98908,Laptop,2016,8,63,81.4,48.9,Asia,0.87
LP16NA88727,Laptop,2016,8,66,58.9,23.5,North America,0.89
LP16NA88438,Laptop,2016,8,59,55.1,22,North America,0.87
LP16NA51947,Laptop,2016,8,63,55.8,22.3,North America,0.89
DT16NA24083,Desktop,2016,8,90,43.5,17.4,North America,0.94
DT16AS86778,Desktop,2016,8,87,23.2,13.9,Asia,0.92
LP16AS32778,Laptop,2016,8,64,26.5,15.9,Asia,0.87
LP16EU40656,Laptop,2016,8,64,36.2,9.1,Europe,0.87
LP16NA64230,Laptop,2016,8,60,80,32,North America,0.87
DT16AS70247,Desktop,2016,8,88,66.3,39.8,Asia,0.97
DT16NA37728,Desktop,2016,8,91,55.7,22.3,North America,0.94
LP16EU24126,Laptop,2016,8,62,30.7,7.7,Europe,0.89
LP16AS20597,Laptop,2016,8,64,45,27,Asia,0.89
DT16AS41492,Desktop,2016,8,89,66.8,40.1,Asia,0.97
LP16NA14787,Laptop,2016,8,63,27.3,10.9,North America,0.89
LP16AS46206,Laptop,2016,8,65,68.7,41.2,Asia,0.88
LP16AS24958,Laptop,2016,8,61,24.5,14.7,Asia,0.89
LP16EU30812,Laptop,2016,8,65,60.8,15.2,Europe,0.88
LP16NA17802,Laptop,2016,8,64,48,19.2,North America,0.86
LP16NA49585,Laptop,2016,8,62,67.7,27.1,North America,0.87
DT16NA47961,Desktop,2016,8,89,56.5,22.6,North America,0.96
LP16NA45344,Laptop,2016,8,64,76.3,30.5,North America,0.87
DT16AS88886,Desktop,2016,8,89,19.5,11.7,Asia,0.96
LP16AS63868,Laptop,2016,8,60,13.8,8.3,Asia,0.88
LP16NA32257,Laptop,2016,8,61,67.6,27.1,North America,0.89
DT16AS89665,Desktop,2016,8,86,90.7,54.4,Asia,0.96
LP16NA19831,Laptop,2016,8,61,47.5,19,North America,0.87
LP16EU65351,Laptop,2016,8,63,48.5,12.1,Europe,0.87
LP16AS37289,Laptop,2016,8,63,63.3,38,Asia,0.87
LP16NA97109,Laptop,2016,8,64,53.9,21.6,North America,0.89
DT16AS13218,Desktop,2016,8,88,59.1,35.4,Asia,0.94
LP16EU22772,Laptop,2016,8,59,51.5,12.9,Europe,0.87
LP16AS43453,Laptop,2016,8,63,67.7,40.6,Asia,0.87
LP16AS73688,Laptop,2016,8,63,75.1,45.1,Asia,0.87
LP16NA66173,Laptop,2016,8,65,75.4,30.2,North America,0.87
DT16AS45343,Desktop,2016,8,89,55.7,33.4,Asia,0.93
LP16AS93477,Laptop,2016,8,59,29.7,17.8,Asia,0.86
DT16AS81835,Desktop,2016,8,89,55.6,33.4,Asia,0.96
LP16AS16618,Laptop,2016,8,63,67.8,40.7,Asia,0.87
DT16AS27261,Desktop,2016,8,90,73.3,44,Asia,0.92
LP16NA36354,Laptop,2016,8,65,23.1,9.2,North America,0.87
LP16AS80270,Laptop,2016,8,58,73.3,44,Asia,0.88
LP16AS83508,Laptop,2016,8,63,70.5,42.3,Asia,0.89
DT16NA86642,Desktop,2016,8,90,72.3,28.9,North America,0.98
LP16NA90243,Laptop,2016,8,60,41.8,16.7,North America,0.88
LP16EU29048,Laptop,2016,8,65,53.3,13.3,Europe,0.86
DT16AS99876,Desktop,2016,8,88,17.4,10.4,Asia,0.94
LP16NA47981,Laptop,2016,8,66,73.8,29.5,North America,0.88
LP16AS90475,Laptop,2016,8,64,49.5,29.7,Asia,0.87
LP16NA46578,Laptop,2016,8,64,44.6,17.8,North America,0.88
DT16AS96130,Desktop,2016,8,89,63.2,37.9,Asia,0.95
LP16EU10206,Laptop,2016,8,62,53.5,13.4,Europe,0.86
LP16AS16325,Laptop,2016,8,63,25.1,15.1,Asia,0.87
LP16AS31893,Laptop,2016,8,62,47.3,28.4,Asia,0.85
LP16EU97637,Laptop,2016,8,64,100.5,25.1,Europe,0.88
LP16NA61572,Laptop,2016,8,59,65.4,26.1,North America,0.85
LP16AS89809,Laptop,2016,8,59,37.8,22.7,Asia,0.86
LP16AS34007,Laptop,2016,8,61,67.9,40.7,Asia,0.86
LP16AS69146,Laptop,2016,8,64,88.3,53,Asia,0.87
LP16NA53398,Laptop,2016,8,62,35.7,14.3,North America,0.89
LP16NA88492,Laptop,2016,8,65,58.1,23.2,North America,0.88
LP16EU87760,Laptop,2016,8,61,78.1,19.5,Europe,0.87
LP16NA58065,Laptop,2016,8,63,50.5,20.2,North America,0.87
LP16NA15251,Laptop,2016,8,59,30.4,12.1,North America,0.87
LP16AS20761,Laptop,2016,8,62,33.8,20.3,Asia,0.88
LP16NA23077,Laptop,2016,8,59,64.1,25.6,North America,0.86
LP16NA30207,Laptop,2016,8,65,69.6,27.9,North America,0.86
DT16AS76878,Desktop,2016,8,87,47.6,28.6,Asia,0.94
LP16EU27944,Laptop,2016,8,60,66.9,16.7,Europe,0.86
DT16NA80001,Desktop,2016,8,92,110.6,44.2,North America,0.95
DT16NA44412,Desktop,2016,8,89,75.5,30.2,North America,0.97
DT16AS53073,Desktop,2016,8,92,18.4,11,Asia,0.91
LP16NA37989,Laptop,2016,8,64,53.7,21.5,North America,0.87
DT16AS80069,Desktop,2016,8,91,38.6,23.2,Asia,0.93
LP16AS34247,Laptop,2016,8,58,46,27.6,Asia,0.86
LP16NA80254,Laptop,2016,8,61,34.1,13.6,North America,0.88
LP16AS51189,Laptop,2016,8,62,60.3,36.2,Asia,0.87
DT16AS82029,Desktop,2016,8,89,28.9,17.4,Asia,0.94
DT17EU11715,Desktop,2017,7,87,52.1,13,Europe,0.97
LP17NA88642,Laptop,2017,7,57,38.7,15.5,North America,0.86
LP17AS52204,Laptop,2017,7,63,48.3,29,Asia,0.88
LP17AS79318,Laptop,2017,7,61,48.9,29.4,Asia,0.88
LP17AS13377,Laptop,2017,7,57,23.9,14.3,Asia,0.88
LP17NA22987,Laptop,2017,7,56,22.7,9.1,North America,0.88
DT17EU29565,Desktop,2017,7,86,22.5,5.6,Europe,0.95
DT17AS81327,Desktop,2017,7,87,21.1,12.6,Asia,0.95
LP17NA15937,Laptop,2017,7,61,32,12.8,North America,0.87
LP17AS31061,Laptop,2017,7,61,46.3,27.8,Asia,0.88
LP17NA95965,Laptop,2017,7,60,69.6,27.8,North America,0.87
LP17NA77402,Laptop,2017,7,64,27.1,10.8,North America,0.87
LP17NA75323,Laptop,2017,7,64,79.1,31.6,North America,0.87
LP17AS30401,Laptop,2017,7,60,40.3,24.2,Asia,0.88
DT17NA26777,Desktop,2017,7,86,63.9,25.6,North America,0.98
LP17EU59988,Laptop,2017,7,58,44.6,11.1,Europe,0.87
LP17NA29548,Laptop,2017,7,61,52.5,21,North America,0.87
DT17AS95298,Desktop,2017,7,88,47.7,28.6,Asia,0.95
DT17EU88409,Desktop,2017,7,84,34.7,8.7,Europe,0.95
LP17AS30350,Laptop,2017,7,63,78.8,47.3,Asia,0.88
LP17EU46457,Laptop,2017,7,61,48.7,12.2,Europe,0.87
DT17AS65497,Desktop,2017,7,89,50.2,30.1,Asia,0.97
LP17AS28824,Laptop,2017,7,59,40.1,24.1,Asia,0.86
LP17AS50714,Laptop,2017,7,58,42.5,25.5,Asia,0.88
LP17NA62023,Laptop,2017,7,62,35.8,14.3,North America,0.87
LP17AS47010,Laptop,2017,7,58,33.5,20.1,Asia,0.86
LP17AS74304,Laptop,2017,7,63,110.3,66.2,Asia,0.88
LP17EU16935,Laptop,2017,7,57,63.1,15.8,Europe,0.89
LP17NA61298,Laptop,2017,7,60,46.2,18.5,North America,0.88
LP17NA76381,Laptop,2017,7,59,58.9,23.6,North America,0.87
LP17NA60157,Laptop,2017,7,62,60.4,24.1,North America,0.87
LP17AS68960,Laptop,2017,7,60,69.8,41.9,Asia,0.88
DT17AS41273,Desktop,2017,7,85,35.9,21.5,Asia,0.92
LP17NA13548,Laptop,2017,7,59,66.9,26.8,North America,0.88
LP17NA67678,Laptop,2017,7,62,81,32.4,North America,0.89
LP17AS79631,Laptop,2017,7,59,34.8,20.9,Asia,0.87
LP17AS36487,Laptop,2017,7,59,68.2,40.9,Asia,0.88
LP17NA12914,Laptop,2017,7,59,26.5,10.6,North America,0.86
LP17AS32551,Laptop,2017,7,59,40.5,24.3,Asia,0.88
DT17AS24546,Desktop,2017,7,86,35.7,21.4,Asia,0.96
